guid,gid,uid,vid
29,4238,550,64
29,4045,550,384
29,3658,550,557
29,3713,550,407
29,3697,550,571
29,3678,550,298
29,3788,550,272
29,3682,550,234
29,3988,550,429
29,3688,550,452
29,3683,550,138
29,3694,550,588
29,3690,550,350
29,3675,550,411
29,3682,550,234
29,3697,550,571
29,3678,550,298
29,3688,550,452
29,4238,550,64
29,3988,550,429
29,3788,550,272
30,4087,3071,523
30,4190,3071,66
30,4229,3071,55
31,3718,2449,451
31,3946,2449,312
31,3718,2449,451
31,3946,2449,312
31,4013,2449,558
31,3749,2449,77
32,4238,1159,64
32,4254,1159,270
32,4304,1159,229
32,3908,1159,85
32,4254,1159,270
32,3665,1159,99
32,4238,1159,64
32,3745,1159,78
32,4168,1159,218
32,4304,1159,229
32,3918,1159,19
32,4048,1159,75
32,3697,1159,571
32,3908,1159,85
33,4304,1314,229
33,4238,1314,64
33,4254,1314,270
33,4032,1314,302
33,4162,1314,479
33,4171,1314,674
33,4254,1314,270
33,4238,1314,64
33,4162,1314,479
33,3788,1314,272
33,4247,1314,254
33,4304,1314,229
34,4095,464,217
34,4009,464,207
34,4096,464,280
34,4007,464,426
34,4092,464,244
34,3740,464,246
34,3799,464,309
34,3796,464,476
34,3791,464,433
34,3797,464,171
34,3750,464,401
34,3802,464,200
34,4007,464,426
34,4095,464,217
34,3799,464,309
34,4009,464,207
34,3796,464,476
34,3740,464,246
34,4096,464,280
34,3791,464,433
34,3797,464,171
35,4191,1796,492
35,4138,1796,469
35,4203,1796,326
35,4207,1796,107
35,3918,1796,19
35,4197,1796,110
35,4252,1796,219
35,3904,1796,29
35,4191,1796,492
36,4154,1406,128
36,4246,1406,201
36,4138,1406,469
36,4164,1406,369
36,4332,1406,358
36,4164,1406,369
36,4246,1406,201
36,4256,1406,419
36,4209,1406,306
36,4197,1406,110
36,4138,1406,469
37,4238,1142,64
37,4045,1142,384
37,4304,1142,229
37,4254,1142,270
37,3938,1142,566
37,3938,1142,566
37,4254,1142,270
37,4238,1142,64
37,4045,1142,384
37,4263,1142,432
37,4304,1142,229
37,3788,1142,272
37,4162,1142,479
37,3785,1142,330
38,3680,1091,406
38,3681,1091,238
38,4238,1091,64
38,3675,1091,411
38,3668,1091,468
38,3682,1091,234
38,3682,1091,234
38,3675,1091,411
38,3681,1091,238
38,3668,1091,468
38,4238,1091,64
38,3648,1091,423
38,3692,1091,516
38,3713,1091,407
38,4033,1091,261
39,3741,3243,572
39,3750,3243,401
40,3721,1749,336
40,4294,1749,507
40,4165,1749,639
40,4127,1749,535
40,3700,1749,381
40,4276,1749,214
40,3710,1749,399
40,4017,1749,276
40,3700,1749,381
41,4238,1390,64
41,4300,1390,93
41,4254,1390,270
41,3908,1390,85
41,4304,1390,229
41,4051,1390,150
41,3918,1390,19
41,4050,1390,282
41,4249,1390,173
41,4254,1390,270
41,4300,1390,93
42,3841,1475,443
42,3926,1475,212
