guid,gid,uid,vid
40,5772,2547,256
41,5843,1950,1
41,5903,1950,3
41,5877,1950,64
41,4984,1950,5
41,5900,1950,2
41,4984,1950,5
41,5843,1950,1
41,5903,1950,3
41,5877,1950,64
41,4979,1950,7
41,5900,1950,2
41,5468,1950,318
41,5285,1950,0
42,5776,1925,30
42,5858,1925,120
42,5903,1925,3
42,5929,1925,77
42,4978,1925,4
42,5843,1925,1
42,5903,1925,3
42,5900,1925,2
42,5309,1925,70
42,5285,1925,0
42,5858,1925,120
42,5929,1925,77
42,5834,1925,164
43,5421,1808,49
43,5526,1808,110
43,5939,1808,553
43,5776,1808,30
43,5834,1808,164
43,5361,1808,283
43,5858,1808,120
43,5900,1808,2
43,5929,1808,77
43,5302,1808,65
43,5345,1808,472
43,5285,1808,0
43,5903,1808,3
43,4978,1808,4
43,5939,1808,553
43,5526,1808,110
44,4998,2633,29
44,5218,2633,109
44,5220,2633,118
44,5655,2633,174
44,4998,2633,29
44,5900,2633,2
44,5657,2633,125
45,5903,1855,3
45,5843,1855,1
45,4978,1855,4
45,5900,1855,2
45,4977,1855,12
45,5776,1855,30
45,5843,1855,1
45,5776,1855,30
45,5900,1855,2
45,4977,1855,12
45,4984,1855,5
45,5144,1855,369
45,5129,1855,280
45,4978,1855,4
45,5938,1855,27
46,5526,3420,110
46,4977,3420,12
47,5768,2207,466
47,4977,2207,12
47,4978,2207,4
47,4998,2207,29
47,5285,2207,0
47,5843,2207,1
47,4984,2207,5
47,5098,2207,111
47,5302,2207,65
47,4979,2207,7
49,5903,3294,3
49,4977,3294,12
49,4996,3294,73
50,5838,2044,26
50,4998,2044,29
50,5843,2044,1
50,5838,2044,26
50,4977,2044,12
50,4984,2044,5
50,5903,2044,3
50,5938,2044,27
50,5285,2044,0
50,4978,2044,4
50,5843,2044,1
51,5923,2251,1039
51,5545,2251,811
51,5937,2251,35
51,4996,2251,73
51,5375,2251,588
51,5302,2251,65
51,5250,2251,158
51,5923,2251,1039
51,5866,2251,843
51,5322,2251,165
52,5426,3363,644
52,5487,3363,582
54,5991,3237,282
54,4998,3237,29
54,4998,3237,29
56,5842,3313,20
56,4978,3313,4
56,4978,3313,4
57,5092,2965,107
57,4998,2965,29
57,5776,2965,30
57,4978,2965,4
57,5302,2965,65
58,5903,3455,3
59,4978,2764,4
59,5834,2764,164
59,5440,2764,296
59,5877,2764,64
59,5926,2764,208
59,5573,2764,946
59,5874,2764,1211
60,5056,2422,754
60,5045,2422,424
60,5583,2422,287
60,4890,2422,116
60,5581,2422,135
60,5107,2422,252
60,5094,2422,481
60,4947,2422,9
60,5132,2422,555
61,4979,2400,7
61,5900,2400,2
61,4977,2400,12
61,5938,2400,27
61,5843,2400,1
61,4978,2400,4
61,4997,2400,439
61,5842,2400,20
61,5939,2400,553
62,5938,3109,27
62,4984,3109,5
62,5877,3109,64
62,5359,3109,819
63,5769,3399,494
63,4808,3399,846
64,5129,3004,280
64,5515,3004,15
64,5938,3004,27
64,5129,3004,280
64,5489,3004,261
65,4979,1592,7
65,5842,1592,20
65,4978,1592,4
65,5900,1592,2
65,5903,1592,3
65,5843,1592,1
65,4984,1592,5
65,4977,1592,12
65,5285,1592,0
65,5938,1592,27
65,5903,1592,3
65,4977,1592,12
65,4979,1592,7
65,5285,1592,0
65,4984,1592,5
65,4978,1592,4
65,5900,1592,2
65,5843,1592,1
65,5842,1592,20
66,5929,3242,77
66,5421,3242,49
66,5285,3242,0
67,5877,2777,64
67,5937,2777,35
67,4984,2777,5
67,4979,2777,7
67,4984,2777,5
67,5309,2777,70
68,5877,2625,64
68,5838,2625,26
68,5843,2625,1
68,4984,2625,5
68,4979,2625,7
68,5903,2625,3
68,5838,2625,26
68,5843,2625,1
69,5877,2655,64
69,4984,2655,5
69,5285,2655,0
69,5937,2655,35
69,5926,2655,208
69,5941,2655,375
69,5098,2655,111
70,5903,2986,3
70,5843,2986,1
70,5877,2986,64
70,5938,2986,27
70,5900,2986,2
71,5838,3432,26
71,5843,3432,1
72,4977,2989,12
72,5900,2989,2
72,5776,2989,30
72,4978,2989,4
72,5929,2989,77
73,5285,2913,0
73,4984,2913,5
73,4978,2913,4
73,5938,2913,27
73,5842,2913,20
73,4979,2913,7
75,5776,2152,30
75,5877,2152,64
75,5834,2152,164
75,5903,2152,3
75,5944,2152,550
75,5929,2152,77
75,5285,2152,0
75,5843,2152,1
75,4978,2152,4
75,4984,2152,5
76,4984,3303,5
76,4855,3303,67
76,5309,3303,70
77,5944,3126,550
77,5842,3126,20
77,5309,3126,70
77,5944,3126,550
78,5768,2172,466
78,5987,2172,306
78,5205,2172,1028
78,5092,2172,107
78,5157,2172,153
78,5768,2172,466
78,5205,2172,1028
78,5044,2172,531
78,5157,2172,153
78,5991,2172,282
79,5553,2460,189
79,5747,2460,710
79,5552,2460,547
79,4978,2460,4
79,5304,2460,524
79,5302,2460,65
79,5272,2460,44
79,5130,2460,996
79,5234,2460,10
80,5092,3139,107
80,4978,3139,4
80,4984,3139,5
80,5991,3139,282
81,5900,2858,2
81,5858,2858,120
81,5938,2858,27
81,5345,2858,472
81,4998,2858,29
81,5858,2858,120
82,5552,2350,547
82,5187,2350,668
82,5092,2350,107
82,5428,2350,294
82,5272,2350,44
82,5130,2350,996
82,5553,2350,189
82,5747,2350,710
82,4978,2350,4
83,5738,3296,540
83,5929,3296,77
83,5090,3296,199
84,5285,3348,0
84,4984,3348,5
85,5768,2876,466
85,5098,2876,111
85,5900,2876,2
85,5440,2876,296
85,5903,2876,3
85,5092,2876,107
86,4903,2628,610
86,5987,2628,306
86,5758,2628,790
86,4944,2628,783
86,5440,2628,296
86,5919,2628,414
86,4855,2628,67
86,4893,2628,559
87,5440,2722,296
87,5186,2722,839
87,5747,2722,710
87,5553,2722,189
87,5092,2722,107
87,5098,2722,111
87,5272,2722,44
88,5092,1868,107
88,5095,1868,330
88,5079,1868,392
88,5246,1868,898
88,5089,1868,612
88,5098,1868,111
88,5246,1868,898
88,5095,1868,330
88,5079,1868,392
88,5991,1868,282
88,5089,1868,612
88,5092,1868,107
88,5062,1868,865
88,5177,1868,507
89,4869,2337,853
89,5481,2337,268
89,4843,2337,954
89,4840,2337,826
89,5478,2337,371
89,5133,2337,731
89,5428,2337,294
89,5341,2337,265
89,5464,2337,234
90,5533,2922,31
90,5762,2922,435
90,5478,2922,371
90,5100,2922,176
90,4847,2922,639
91,4847,2271,639
91,4881,2271,445
91,5307,2271,570
91,5273,2271,561
91,4856,2271,317
91,4841,2271,690
91,5250,2271,158
91,5262,2271,564
91,5820,2271,23
91,5022,2271,804
92,5778,2235,99
92,5926,2235,208
92,5778,2235,99
92,5285,2235,0
92,4978,2235,4
92,5877,2235,64
92,4984,2235,5
92,4977,2235,12
92,5843,2235,1
92,5842,2235,20
93,5897,2399,655
93,5506,2399,214
93,5506,2399,214
93,6011,2399,937
93,5761,2399,577
93,5990,2399,729
93,5139,2399,8
93,5341,2399,265
93,5717,2399,487
94,6012,2527,709
94,5145,2527,51
94,5520,2527,364
94,5495,2527,119
94,5660,2527,33
94,5139,2527,8
94,5490,2527,1130
94,5309,2527,70
95,4947,3071,9
95,5515,3071,15
95,5309,3071,70
95,5145,3071,51
96,5145,2051,51
96,5145,2051,51
96,5099,2051,186
96,5491,2051,132
96,5139,2051,8
96,5285,2051,0
96,5295,2051,415
96,5515,2051,15
96,5309,2051,70
96,5497,2051,133
96,5489,2051,261
97,5145,2685,51
97,5099,2685,186
97,5140,2685,430
97,4979,2685,7
